Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.003863753,0.0027069491,49.14708,4.914708,28.218845,16.20935,-3.997149,-0.0021491959,0.0015698723,0.0019868277,-0.008016836,0.0048885415,0.0014064291,0.009794427,-0.00017044554,-4.0236354,0.5207819,-2.2854652,-5.519127,-0.00025157156,0.001044883,0.002952712,-0.0046497975,0.00026668585,0.0016058942,0.005828376,-0.00377372,0.054988552,0.09134624,-3.1549990038831086,-3.236540150070767,-3.5135364511610554,2000,14000,0,68.24575678096153,0,7.753776139579713,75.99953292054124,82.99563987134025,0
0.13545012,0.58916044,1.4894042,0.14894043,28.098682,2.8428555,-28.36959,25.352928,2.189661,35.38179,10.17666,28.136267,1.076625,32.48606,24.839891,-3.8088644,0.8737943,0.21059537,-8.522311,-0.059857443,0.26172864,0.96767634,-0.92357683,-0.13456427,0.035241026,-0.044171587,-0.42478687,0.19749057,0.0390674,-16.133027324706994,-8.99163384769356,-12.266537509648986,4000,24000,0,65.15503386990167,6.997942466055974,5.3215524435509,77.47452877950855,159.92677345010452,1
0.65677637,0.319942,15.401653,1.5401653,24.324263,6.987573,-59.675488,55.54431,10.837941,82.26027,23.632326,60.358215,9.833782,85.539,31.791267,-2.9656882,1.6007453,3.7030375,-7.093637,-0.083934486,0.50852823,1.4027576,-2.086894,-0.21190073,0.07248404,-0.015405104,-0.6588856,0.17859112,0.04851807,129.40735579439908,126.67673792672491,47.62758125682535,6000,34000,0,64.78731460520066,6.454712788807228,5.243694473523647,76.48572186753154,236.54594724974595,2
0.8713605,0.15763767,25.206528,2.5206528,43.235798,8.987107,-93.31423,88.10065,18.596462,144.1847,24.417017,92.56554,17.56317,149.67693,34.50255,-2.50031,1.7078646,2.645986,-9.277906,0.082677424,0.60274553,1.9761844,-1.9505501,-0.26204905,0.09945895,0.0041946545,-0.73125505,1.1246504,0.044356763,218.23119865275828,165.2871030797989,200.71549353815732,8000,44000,0,65.22214924101718,6.588248656131327,5.25813531735912,77.06853321450762,313.8985225299839,3
0.1848211,0.19534072,11.903601,1.1903601,120.094795,30.90915,-112.68738,107.79364,13.5026,142.4025,-3.9783306,111.20624,12.135918,145.06056,19.900253,-3.1497173,1.3624496,4.3923163,-7.308135,-0.17215435,0.4188997,1.9381293,-1.9383929,-0.29255655,0.09658929,0.09328643,-0.8964193,0.1288121,0.03870229,551.6903776460879,539.9316494850984,279.4564643891494,10000,54000,0,64.89636575197801,6.872430550865829,5.420847979141399,77.18964428198524,390.5432969452813,4
1.001605,0.2306283,21.058348,2.1058347,89.00864,33.432156,-164.07002,160.54349,45.830444,304.19308,-19.99607,166.8696,46.992664,302.42035,-15.439452,-1.7683172,2.4018455,9.428254,-7.9448504,-0.09817571,0.7066246,2.157096,-2.132697,-0.34858143,0.14266399,0.00091470033,-0.8948759,0.15249887,0.045626324,389.4682880039754,214.91371311178062,349.52921162831944,12000,64000,0,65.13595823803917,6.327849914086983,5.243481736630201,76.70728988875635,467.39133548596874,5
0.96652806,0.19822478,45.36629,4.536629,65.49698,20.423,-207.34918,200.85648,49.71758,334.50647,-48.059772,206.18338,48.396236,339.48016,-26.110071,-1.7075814,2.2603598,5.2055035,-7.2248096,-0.08390615,0.74208754,2.1870663,-2.2102606,-0.3372763,0.17261937,0.119112,-1.030136,1.6667706,0.04231039,483.48433444340276,476.36554776984326,378.98062489819404,14000,74000,0,65.12090986594558,6.468990015797317,5.3524716277606785,76.94237150950357,544.0851365143899,6
1.0689392,0.17227687,36.626877,3.6626878,90.595024,51.48872,-307.54022,302.392,82.03336,485.22723,-92.78904,311.5234,79.45917,481.07947,-58.36586,-0.47452873,2.568154,8.390479,-8.452919,-0.104743935,0.88170075,2.270307,-2.908678,-0.4021295,0.16457625,0.06470149,-1.1468282,1.4902134,0.05076312,544.4822792189234,559.612247813382,556.9188778138068,16000,84000,0,63.889769160188735,6.2204321580938995,5.234172709984705,75.34437402826734,619.7101609751116,7
0.37162495,0.15792955,26.614084,2.6614084,146.8341,58.337555,-321.9178,314.7667,135.00552,635.9919,-0.78461087,322.34106,135.17854,645.7759,0.4765978,-0.9984845,2.8929622,8.523115,-9.9385,-0.14814563,0.81790054,2.233326,-2.310597,-0.4031937,0.15498146,0.03736131,-1.0467038,1.9479835,0.032512978,355.25511535111957,188.43741447021287,540.1586129126184,18000,94000,0,65.13100311812013,6.501428534043953,5.386559841921553,77.01899149408564,696.7080694579054,8
1.6377739,0.23376887,54.080353,5.4080353,132.55942,35.044907,-498.43973,490.65326,169.22739,860.3447,-44.904568,497.2989,166.9414,857.74097,-9.057087,0.41425657,3.0348463,8.871527,-9.962309,-0.111069344,1.0069107,2.474511,-2.9213674,-0.44273853,0.18148047,0.10878289,-1.2330842,1.7440796,0.035382077,847.8248328670068,781.9210665530461,416.9186533823633,20000,104000,0,66.14724988094531,6.480487240012735,5.24124352587387,77.86898064683191,774.5182902845554,9
1.7790692,0.23087902,65.59351,6.5593514,136.60495,36.33893,-499.9857,493.83905,202.74165,962.84845,27.568048,499.37378,203.31505,955.746,19.47543,0.2951057,2.9214547,13.391048,-8.556062,-0.13627122,0.96989703,2.454832,-2.6746097,-0.45697737,0.214324,0.11246987,-1.4796379,0.714575,0.04921762,737.4326404806166,762.9038555510457,392.58614060618305,22000,114000,0,65.52856349898502,6.422073024092242,5.326736672082916,77.27737319516018,851.8489924904425,10
1.5079471,0.19018973,48.472855,4.8472857,126.25313,70.03873,-598.26337,587.7743,202.39317,1003.1247,-50.22759,593.6063,198.31618,988.2852,-32.52888,0.6555934,3.0073235,12.205038,-7.778662,-0.16484366,1.004761,2.3090706,-2.4629054,-0.485016,0.17683999,0.089975886,-1.4409691,1.4088544,0.04560154,593.8159085165773,616.1932524020492,636.4444989545459,24000,124000,0,65.021734489128,6.4756630978081375,5.2494367635808885,76.74683435051702,928.7667227101047,11
0.91943705,0.08737548,36.494907,3.6494908,136.91373,47.207195,-329.69693,324.75653,87.44756,481.2013,-40.57143,329.60565,85.54556,478.90778,-12.544875,-1.4015403,2.220646,7.6689696,-8.457796,-0.12275017,0.73837787,2.1034768,-2.317893,-0.4087607,0.19170268,0.08592703,-1.433837,1.8273624,0.041973256,756.8789641365663,836.1740239317987,561.4942132346355,26000,134000,0,63.58876518509351,6.646755099995062,5.408110767137259,75.64363105222583,1004.1568727390841,12
1.5734975,0.09458632,61.473186,6.147319,123.67769,81.73626,-524.4213,516.40466,229.64548,1212.2938,-187.43904,519.55505,227.89444,1198.8193,-155.264,0.20212615,2.9181316,12.684048,-9.498518,-0.13254099,0.97037023,3.103311,-2.4921346,-0.45425037,0.22015183,0.08856571,-1.5706007,1.0220518,0.03396104,888.1490760860731,764.6315768872515,410.3464392631521,28000,144000,0,64.42556642484851,6.393588864943013,5.203527683392167,76.02268297318369,1080.3677166632842,13
0.33169094,0.088551246,56.362057,5.6362057,517.78723,254.74435,-714.14484,713.3154,389.368,1479.5707,-48.842743,715.9581,383.97406,1469.2072,-4.8852615,0.30789268,3.5077097,10.894005,-8.467489,-0.26247734,0.95792156,2.7580025,-2.884816,-0.4794174,0.16997139,-0.03775517,-1.3491104,2.923525,0.03924613,504.0904487245235,-300.5737575437645,532.5744964182279,30000,154000,0,65.177758541191,6.582131667993963,5.3161450459156185,77.07603525510058,1157.3678118018433,14
1.9931991,0.05517302,94.79882,9.479882,292.3099,93.84014,-663.6804,651.9138,251.96358,1340.7864,-132.36807,665.3733,245.6172,1338.5612,-150.81778,0.7231862,2.9705849,12.301699,-8.809323,-0.17729765,1.0314075,2.5930824,-2.766971,-0.4776528,0.24401468,0.09506835,-1.7022358,1.6786369,0.019375954,705.3802368063511,373.8482213782522,513.9773198346077,32000,164000,0,64.79422091087326,6.506958104902878,5.355331723578274,76.65651073935442,1233.9787717186846,15
1.5225123,0.08603066,58.796303,5.8796306,178.0236,68.422516,-601.86005,593.5539,225.2179,1191.6252,-158.172,603.60944,223.99602,1190.5178,-157.15149,0.07033236,2.7391057,9.475278,-11.72847,-0.16741455,0.9395427,2.370152,-2.3982475,-0.46116242,0.22335228,0.13055782,-1.6890328,2.8109744,0.034864686,541.5043792908428,-144.16610774454796,294.5181798190122,34000,174000,0,64.73491451889277,6.461339354980737,5.281004088465124,76.47725796233863,1310.6595573998056,16
2.0913095,0.19312009,72.43863,7.243863,164.85931,80.05357,-836.82996,828.23096,383.8993,1573.3076,-115.18232,841.3684,383.54382,1578.0615,-99.20332,0.8104532,3.1424181,12.143809,-7.374978,-0.14375818,1.0161248,2.3909607,-2.994257,-0.49354962,0.20696785,0.04427447,-1.5473068,2.8524308,0.03389663,748.3759594247399,411.4445649517117,151.99993592365172,36000,184000,0,65.35339563596062,6.6651005579624325,5.362806387245655,77.38130258116871,1387.936860944843,17
2.0076551,0.18957575,77.124344,7.7124343,191.1288,69.66926,-1042.4891,1033.3967,355.95316,1612.5946,-61.727013,1044.3752,357.02487,1613.1729,-70.423225,1.867857,3.2457752,13.812475,-9.756031,-0.21448791,1.127482,2.87059,-2.8687701,-0.53548914,0.19202784,0.03557884,-1.6659737,1.7157142,0.04580789,953.7558269887544,876.102932519531,613.7331075717377,38000,194000,0,65.37369725690223,6.5615387060679495,5.351340303663164,77.28657626663335,1465.0791173516773,18
